passenger_count,year,month,day,hour,minute,shift,total_distance,fare_amount_predicted
1,2015,1,27,13,8,1,2.3232594824492607,10.131524916060712
1,2015,1,27,13,8,1,2.4253529015491555,10.700299406523015
1,2011,10,8,11,53,0,0.6186278709673152,4.443866959909117
1,2012,12,1,21,12,1,1.9610325158759543,8.270511930204066
1,2012,12,1,21,12,1,5.387301253820264,14.852087785664331
1,2012,12,1,21,12,1,3.2225488777957367,10.568252084576418
1,2011,10,6,12,10,1,0.9296013092824492,5.416482055164426
1,2011,10,6,12,10,1,21.540101663971637,28.42581598459287
1,2011,10,6,12,10,1,3.8739616954558764,11.292798815799673
1,2014,2,18,15,22,1,1.0997939098751461,6.331315250189875
1,2014,2,18,15,22,1,2.317685162256778,9.54518136997022
1,2014,2,18,15,22,1,4.81917870029474,16.491883319778236
1,2010,3,29,20,20,1,0.7226697051121829,4.81166518650678
1,2010,3,29,20,20,1,1.675503135972462,7.01476867973439
1,2011,10,6,3,59,0,2.504032342621518,8.752723156884885
1,2011,10,6,3,59,0,5.115375166678891,12.889130802283095
1,2012,7,15,16,45,1,0.2988380401272911,4.4978229228158275
1,2012,7,15,16,45,1,2.5311474620676435,9.292158685370412
1,2012,7,15,16,45,1,0.7804444670384665,4.976038243441747
1,2012,7,15,16,45,1,0.4272819633446308,4.538833704386581
1,2014,10,29,2,9,0,1.6519455034420647,7.487099196853113
1,2014,6,14,13,39,1,1.9692105476522053,8.979085254483554
1,2014,6,14,13,39,1,1.305441254484256,6.951509533206715
1,2014,6,14,13,39,1,1.9012945033651272,9.14095535785761
1,2014,6,14,13,39,1,5.779720338025457,18.522955103324385
1,2014,6,14,13,39,1,1.1216865935043137,6.486107079957281
1,2014,6,14,13,39,1,14.306539630630565,31.061499967781813
1,2014,6,14,13,39,1,9.427870096337587,26.589819374406012
1,2014,6,14,13,39,1,1.1445286411126874,6.4935550632464185
1,2014,6,14,13,39,1,4.69637072556687,16.053405580617344
1,2014,6,14,13,39,1,2.900375936491684,11.856462483558138
1,2014,6,14,13,39,1,1.1820810573468956,6.809318765913692
1,2014,6,14,13,39,1,1.070636588626294,6.422849496879793
1,2014,6,14,13,39,1,2.8740284418156548,11.877204078637277
1,2014,6,14,13,39,1,2.0528939029472744,9.222703109657335
1,2014,6,14,13,39,1,1.563540165005599,7.863716587864261
1,2014,6,14,13,39,1,1.1447352829549848,6.4935550632464185
1,2014,6,14,13,39,1,0.9929954484272424,5.734014274659862
1,2014,6,14,13,39,1,1.5682222215042196,7.861065635269003
1,2014,6,14,13,39,1,0.7165179849411024,5.316442806408555
1,2014,6,14,13,39,1,7.063290872316694,21.192263049214034
1,2014,6,14,13,39,1,2.578631372509267,11.383567484349575
1,2014,6,14,13,39,1,6.256122582685353,19.446214822438094
1,2014,6,14,13,39,1,2.368064492310673,9.804158144529785
1,2014,6,14,13,39,1,0.5881498378755045,4.838991770988034
1,2014,6,14,13,39,1,3.080871135232891,12.122999375381074
1,2014,6,14,13,39,1,0.8820916458470274,5.551195721751255
1,2014,6,14,13,39,1,1.2219799510593912,6.801294939281787
1,2014,6,14,13,39,1,1.0477616592555041,6.454410394855803
1,2014,6,14,13,39,1,0.6959397605577275,5.163007926678913
1,2014,6,14,13,39,1,3.0161998604763784,12.013555251828553
1,2014,6,14,13,39,1,3.395176045697225,13.177043856746128
1,2014,6,14,13,39,1,6.141891574884035,19.205249486369055
1,2014,6,14,13,39,1,1.1061662794325915,6.463735146755293
1,2014,6,14,13,39,1,1.3374129627264708,7.301045297096077
1,2014,6,14,13,39,1,4.822818507645284,16.74426897113692
1,2014,6,14,13,39,1,3.6294568356219408,13.79601218900382
1,2014,6,14,13,39,1,2.4346494597615713,10.76067467434141
1,2014,6,14,13,39,1,3.801562717719411,14.235437457371058
1,2014,6,14,13,39,1,3.8720506635811294,14.298526667996967
1,2014,6,14,13,39,1,1.3643575992861379,7.276400780667282
1,2014,6,14,13,39,1,2.611841032000298,11.344077491128047
1,2014,6,14,13,39,1,0.7695705933446509,5.218748903446549
1,2014,6,14,13,39,1,0.8333679512697012,5.47392481738601
1,2014,6,14,13,39,1,1.5337952930274785,8.055071232907478
1,2014,6,14,13,39,1,1.3519040932410358,7.2645684366029855
1,2014,6,14,13,39,1,2.681923563881432,11.404843246404926
1,2014,6,14,13,39,1,1.004194977820364,5.775415666910905
1,2014,6,14,13,39,1,0.5568540898186874,5.014688683364938
1,2014,6,14,13,39,1,5.5203065665473705,18.01304613987367
1,2014,6,14,13,39,1,1.2319873656233695,6.88129798175925
1,2014,6,14,13,39,1,0.6345791750502536,4.8531648290197875
1,2014,6,14,13,39,1,2.9054081179965165,11.856462483558138
1,2014,6,14,13,39,1,1.3704486961011406,7.26313823530921
1,2014,6,14,13,39,1,2.4749598072760826,11.001941289638491
1,2014,6,14,13,39,1,2.9243492944401694,11.8748488965565
1,2014,6,14,13,39,1,16.052690631974787,31.061499967781813
1,2014,6,14,13,39,1,0.31530282863006653,4.687307610425546
1,2014,6,14,13,39,1,0.45288929891398044,4.774634526097406
1,2014,6,14,13,39,1,0.7829482741885311,5.359133564026856
1,2014,6,14,13,39,1,1.1031284170691098,6.460266420592059
1,2014,6,14,13,39,1,1.077049640309757,6.4222709881085365
1,2014,6,14,13,39,1,1.5284241116437598,8.062739567293
1,2014,6,14,13,39,1,2.4700245866643176,11.415147848202196
1,2014,6,14,13,39,1,6.004135573114849,19.19015599968841
1,2014,6,14,13,39,1,1.2632054337024905,7.287833706156707
1,2014,6,14,13,39,1,0.4585549958657483,4.758740285231344
1,2014,6,14,13,39,1,1.4000275509721543,7.197086983505303
1,2014,6,14,13,39,1,5.1493006039955,17.205420035569116
1,2014,6,14,13,39,1,2.5320700809069128,10.788218377919035
1,2014,6,14,13,39,1,2.6469207950240743,11.357567503842368
1,2014,6,14,13,39,1,2.0083504599444284,9.12806675982951
1,2014,6,14,13,39,1,1.2307376030602777,6.8340185332412755
1,2014,6,14,13,39,1,1.2107013469269152,6.805790971027818
1,2014,6,14,13,39,1,4.1669828834477585,15.046899233779925
1,2014,6,14,13,39,1,4.3187475958060775,15.288959574803279
1,2014,6,14,13,39,1,2.9780640983162994,11.92051830246043
1,2014,6,14,13,39,1,3.9345299055168264,14.325164131857745
1,2014,6,14,13,39,1,1.3935487543989844,7.20128428742687
1,2014,6,14,13,39,1,2.6423380957832503,11.347007680445154
1,2014,6,14,13,39,1,2.801500673217708,11.819405378868339
1,2014,6,14,13,39,1,1.2351679383386003,6.889969964629088
1,2014,6,14,13,39,1,20.80145121258871,31.061499967781813
1,2014,6,14,13,39,1,1.2503125053748874,7.14516367151769
1,2014,6,14,13,39,1,0.025129844240798147,8.126414412763923
1,2014,6,14,13,39,1,0.5787754769860893,4.856122715701416
1,2014,6,14,13,39,1,3.0714096747409654,12.114977798685485
1,2014,6,14,13,39,1,2.466984154473925,11.591033393541709
1,2014,6,14,13,39,1,3.07095648176354,12.114977798685485
1,2014,6,14,13,39,1,9.556859031723848,28.15542958955044
1,2014,6,14,13,39,1,10.971017217528713,29.82267053907267
1,2014,6,14,13,39,1,6.235373500924849,19.266020645798022
1,2014,6,14,13,39,1,2.7925111251528087,11.841697013918022
1,2014,6,14,13,39,1,2.376572192503358,9.85105926753453
1,2014,6,14,13,39,1,1.1575512173513072,6.524675703904572
1,2014,6,14,13,39,1,1.7582907709300926,8.882400906358813
1,2014,6,14,13,39,1,8.3138789858026,23.89139758947919
1,2014,6,14,13,39,1,2.904876948772872,11.856462483558138
1,2014,6,14,13,39,1,1.4188159945948142,7.251009666961657
1,2014,6,14,13,39,1,2.6331911756489648,11.344077491128047
1,2014,6,14,13,39,1,2.6248646620077327,11.344077491128047
1,2014,6,14,13,39,1,0.0,9.570535448846448
1,2014,6,14,13,39,1,2.0570161921586436,9.222703109657335
1,2014,6,14,13,39,1,0.9969425516793542,5.7315366441241276
1,2014,6,14,13,39,1,1.3605863798839648,7.320220688928934
1,2014,6,14,13,39,1,0.6109089630690885,4.848942858597276
1,2014,6,14,13,39,1,1.5896421069086102,7.878657803411644
1,2014,6,14,13,39,1,3.1391447408552753,12.38923374929748
1,2014,6,14,13,39,1,1.683040143626185,9.063407193103147
1,2014,6,14,13,39,1,5.715223262110065,18.445344818419578
1,2014,6,14,13,39,1,0.9593563480898333,5.708084779441831
1,2014,6,14,13,39,1,0.3282466644820881,4.660809777297218
1,2014,6,14,13,39,1,1.5026781968276544,7.849730208179541
1,2014,6,14,13,39,1,1.2894481040238965,6.955707693894386
1,2014,6,14,13,39,1,1.376068353594827,7.26313823530921
1,2014,6,14,13,39,1,0.5849741024264289,4.838991770988034
